filename,platform,gameId,gameVersion,patch,mapId,gameLength_s,size_bytes,sha256,n_chunks,zstd_ok
EUN1-3984412916.rofl,EUN1,3984412916,16.15.800.8073,16.15,11,1823.9,15977231,d82cf17cd00834766d6efb8ac5d0eaaef74bf7487d36ad7b7d7532f8b14f8de9,94,True
EUN1-3984439103.rofl,EUN1,3984439103,16.15.800.8073,16.15,11,1778.7,14897283,46711ddc4516c15cd9337487c6b6444285459b178fdb227f93b24b693c871f67,92,True
EUN1-3985335214.rofl,EUN1,3985335214,16.15.801.3452,16.15,11,1527.4,13264109,01a5d5e1070d4d77cbaefb39226db384d6a62a7dde0592f2f2900428da13dbe7,79,True
EUN1-3985343850.rofl,EUN1,3985343850,16.15.801.3452,16.15,11,1746.8,14319258,c037f2793c5bc38134c710c8b3febcaf5e5b7ea815cd3594793018295fa653d9,91,True
EUN1-3987496574.rofl,EUN1,3987496574,16.15.802.4387,16.15,11,1642.9,13920725,e19c0bcdcc03bf41349f848b2eda24e31f1bd98ba25e4f19ca70965786ee18b6,85,True
EUN1-3987930373.rofl,EUN1,3987930373,16.15.802.4387,16.15,11,1935.5,15837978,5c64755a93fc1cd20a6972c651baa7a589352a1f12ccd22b72334d8f02882801,100,True
EUN1-3987936398.rofl,EUN1,3987936398,16.15.802.4387,16.15,11,1581.1,13256501,670dadb040fe90fa979f1f7a189c8df9e08cf40e15502d0cb7919102e2c86c94,82,True
EUN1-3988302818.rofl,EUN1,3988302818,16.15.802.4387,16.15,11,1509.0,13077656,98385d614ac959f2aa23510bf56fe3a4ff61e6a95af13b0ef1ba92d477634096,79,True
EUN1-3988309673.rofl,EUN1,3988309673,16.15.802.4387,16.15,11,1640.7,13935475,6f4c9a3184a8b3e19bcd678adc75206599fcfc550d3a666b3eec81fd59cee6ed,85,True
EUN1-3988315966.rofl,EUN1,3988315966,16.15.802.4387,16.15,11,2301.7,19507886,843c1fb0c9d87909517e5bc331b79f6516c73349b4611c3706a2a91906f21109,118,True
